country_name,rating,Sanctions,FATF AML Deficient List,Terrorism,Corruption,US State ML Assessment,Criminal Markets (GI Index),EU Tax Blacklist,Offshore Finance Center
Afghanistan,25.37,1,1,1,1,1,1,3,3
Aland Islands,81.99,3,3,2,3,3,3,3,3
Albania,54.66,1,3,2,2,1,2,3,3
Algeria,61.72,3,3,2,1,1,2,3,3
American Samoa,75.9,3,3,3,3,2,2,1,3
Andorra,77.45,3,3,2,3,3,2,3,1
Angola,64.53,3,3,2,1,2,2,3,3
Anguilla,65.83,3,3,2,3,3,2,1,1
Antigua and Barbuda,61.51,3,3,2,2,1,3,1,1
Argentina,65.29,3,3,2,2,1,2,3,3
Armenia,64.81,2,3,3,2,1,3,2,3
Aruba,68.36,3,3,2,3,1,2,3,1
Australia,77.88,3,3,3,3,2,2,3,3
Austria,77.62,3,3,3,3,2,2,3,3
Azerbaijan,61.31,2,3,2,1,2,2,3,3
Bahamas,66.52,3,3,2,3,1,2,3,1
Bahrain,68.39,3,3,2,2,2,2,3,1
Bangladesh,69.01,3,3,2,1,2,2,3,3
Barbados,54.96,3,1,2,3,1,2,3,1
Belarus,58.83,1,3,3,1,2,2,3,3
Belgium,74.62,3,3,2,3,1,2,3,3
Belize,62.52,3,3,2,2,1,2,2,1
Benin,63.4,3,3,1,2,2,2,3,3
Bermuda,78.15,3,3,3,3,3,2,3,1
Bhutan,72.3,3,3,2,3,2,2,3,3
Bolivia,66.25,3,3,2,1,1,2,3,3
"Bonaire, Sint Eustatius and Saba",75.92,3,3,3,3,1,2,3,3
Bosnia-Herzegovina,53.25,1,3,2,1,2,2,3,3
Botswana,72.5,3,3,2,2,3,2,3,3
Brazil,65.06,3,3,2,1,1,1,3,3
British Indian Ocean Territory,78.8,3,3,3,3,1,2,3,3
British Virgin Islands,63.3,3,3,2,2,1,2,2,1
Brunei Darussalam,78.6,3,3,2,3,3,3,3,3
Bulgaria,54.3,3,1,2,2,2,2,3,3
Burkina Faso,52.06,3,1,1,2,3,2,3,3
Burundi,43.52,1,2,2,1,3,2,3,3
Cambodia,62.1,3,3,2,1,1,1,3,3
Cameroon,48.65,3,1,1,1,3,2,3,3
Canada,75.05,3,3,3,3,1,2,3,3
Cape Verde,67.39,3,3,2,3,1,2,3,3
Cayman Islands,67.11,3,3,2,2,1,2,3,1
Central African Rep,49.02,1,3,2,1,3,1,3,3
Chad,61.46,3,3,1,1,3,2,3,3
Chile,72.26,3,3,2,3,2,2,3,3
China,54.08,1,3,2,2,1,2,3,3
Christmas Island,77.67,3,3,3,3,2,2,3,3
Cocos (Keeling) Islands,77.67,3,3,3,3,2,2,3,3
Colombia,62.74,3,3,1,2,1,1,3,3
Comoros,59.5,3,3,2,1,2,2,3,3
Congo (Brazzaville),64.08,3,3,2,1,3,2,3,3
"Congo, the Democratic Republic",28.34,1,1,1,1,3,1,3,3
Cook Islands,71.87,3,3,2,2,2,3,3,1
Costa Rica,66.16,3,3,2,2,1,2,2,3
Cote D'Ivoire,62.39,3,3,2,2,2,2,3,3
Croatia,46.97,1,1,2,2,3,2,3,3
Cuba,54.11,1,3,1,2,1,2,3,3
Curacao,60.12,3,3,2,2,1,2,2,1
Cyprus,67.26,3,3,2,2,1,2,3,1
Czech Republic,74.54,3,3,2,2,2,2,3,3
Denmark,81.54,3,3,3,3,3,2,3,3
Djibouti,58.04,3,2,2,1,3,2,3,3
Dominica ,66.84,3,3,2,2,1,3,3,1
Dominican Republic,68.72,3,3,2,2,1,2,3,3
Ecuador,64.71,3,3,2,1,1,1,3,3
Egypt,68.83,3,3,2,1,2,2,3,3
El Salvador,62.77,3,3,2,1,1,2,3,3
Equatorial Guinea,62.1,3,3,2,1,3,2,3,3
Eritrea,45.28,1,2,2,1,3,2,3,3
Estonia,78.63,3,3,2,3,3,2,3,3
Eswatini,63.0,3,3,2,1,3,2,2,3
Ethiopia,57.15,1,3,2,2,3,2,3,3
Falkland Islands (Malvinas),78.8,3,3,3,3,1,2,3,3
Faroe islands,81.54,3,3,3,3,3,2,3,3
Fiji,69.12,3,3,2,2,3,2,1,3
Finland,81.99,3,3,2,3,3,3,3,3
France,78.29,3,3,3,3,2,2,3,3
French Guiana,78.95,3,3,3,3,2,2,3,3
French Polynesia,78.95,3,3,3,3,2,2,3,3
Gabon,64.46,3,3,2,1,3,2,3,3
Gambia,68.3,3,3,2,2,3,2,3,3
Gaza Strip,45.59,2,2,1,1,2,2,3,3
Georgia,70.42,3,3,2,2,1,2,3,3
Germany,76.48,3,3,2,3,2,2,3,3
Ghana,65.82,3,3,2,2,1,2,3,3
Gibraltar,58.79,3,1,2,2,2,2,3,1
Greece,73.3,3,3,2,2,2,2,3,3
Greenland,80.57,3,3,3,3,3,2,3,3
Grenada,65.13,3,3,2,2,2,3,3,1
